Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
131,Entry Long,Long,2022-03-31 23:00,44660.0,0.132179,223.77,3.79,5326.91,3.79,335.47,5.68,10.89,0.18
130,Exit Long,ExitSL=true,2022-03-31 20:00,44410.9,0.132921,-401.66,-6.37,5103.15,-6.37,34.96,0.55,425.29,6.75
130,Entry Long,Long,2022-03-29 17:00,47432.7,0.132921,-401.66,-6.37,5103.15,-6.37,34.96,0.55,425.29,6.75
129,Exit Long,Exit,2022-03-28 17:00,47124.2,0.133791,680.49,12.1,5504.81,12.1,823.78,14.65,20.87,0.37
129,Entry Long,Long,2022-03-23 05:00,42038.0,0.133791,680.49,12.1,5504.81,12.1,823.78,14.65,20.87,0.37
128,Exit Long,Exit,2022-03-22 14:00,42587.4,0.132072,132.51,2.41,4824.32,2.41,232.30,4.23,144.76,2.64
128,Entry Long,Long,2022-03-20 05:00,41584.1,0.132072,132.51,2.41,4824.32,2.41,232.30,4.23,144.76,2.64
127,Exit Long,Exit,2022-03-19 20:00,41814.7,0.131337,146.47,2.74,4691.81,2.74,221.53,4.14,72.70,1.36
127,Entry Long,Long,2022-03-17 14:00,40699.5,0.131337,146.47,2.74,4691.81,2.74,221.53,4.14,72.70,1.36
126,Exit Long,ExitSL=true,2022-03-04 10:00,40846.1,0.130865,-379.43,-6.63,4545.35,-6.63,80.55,1.41,435.19,7.6
126,Entry Long,Long,2022-03-02 10:00,43745.5,0.130865,-379.43,-6.63,4545.35,-6.63,80.55,1.41,435.19,7.6
125,Exit Long,ExitSL=true,2022-02-21 04:00,37579.5,0.152337,-446.00,-7.23,4924.78,-7.23,68.92,1.12,480.27,7.78
125,Entry Long,Long,2022-02-17 16:00,40507.2,0.152337,-446.00,-7.23,4924.78,-7.23,68.92,1.12,480.27,7.78
124,Exit Long,ExitSL=true,2022-02-17 13:00,40885.9,0.150984,-485.28,-7.29,5370.77,-7.29,105.81,1.59,504.74,7.58
124,Entry Long,Long,2022-02-10 13:00,44100.0,0.150984,-485.28,-7.29,5370.77,-7.29,105.81,1.59,504.74,7.58
123,Exit Long,Exit,2022-02-09 22:00,43891.6,0.151647,142.35,2.19,5856.05,2.19,280.38,4.3,37.38,0.57
123,Entry Long,Long,2022-02-08 10:00,42952.9,0.151647,142.35,2.19,5856.05,2.19,280.38,4.3,37.38,0.57
122,Exit Long,Exit,2022-02-08 07:00,43577.8,0.149472,340.50,5.52,5713.70,5.52,627.81,10.17,27.19,0.44
122,Entry Long,Long,2022-02-06 07:00,41299.8,0.149472,340.50,5.52,5713.70,5.52,627.81,10.17,27.19,0.44
121,Exit Long,ExitSL=true,2021-11-16 13:00,59726.9,0.103359,-460.63,-6.94,5373.20,-6.94,225.06,3.39,581.50,8.77
121,Entry Long,Long,2021-11-14 10:00,64183.5,0.103359,-460.63,-6.94,5373.20,-6.94,225.06,3.39,581.50,8.77
120,Exit Long,Exit,2021-11-13 16:00,64370.6,0.103056,-253.15,-3.68,5833.83,-3.68,226.83,3.29,470.25,6.83
120,Entry Long,Long,2021-11-09 19:00,66827.0,0.103056,-253.15,-3.68,5833.83,-3.68,226.83,3.29,470.25,6.83
119,Exit Long,Exit,2021-11-08 07:00,65329.3,0.105419,354.76,5.43,6086.98,5.43,471.03,7.21,201.78,3.09
119,Entry Long,Long,2021-11-03 08:00,61964.1,0.105419,354.76,5.43,6086.98,5.43,471.03,7.21,201.78,3.09
118,Exit Long,Exit,2021-11-02 17:00,63221.9,0.103307,195.56,3.09,5732.22,3.09,305.01,4.81,201.21,3.18
118,Entry Long,Long,2021-10-30 02:00,61328.9,0.103307,195.56,3.09,5732.22,3.09,305.01,4.81,201.21,3.18
117,Exit Long,Exit,2021-10-28 17:00,60590.7,0.104581,-140.25,-2.17,5536.66,-2.17,86.73,1.34,430.02,6.64
117,Entry Long,Long,2021-10-26 08:00,61931.8,0.104581,-140.25,-2.17,5536.66,-2.17,86.73,1.34,430.02,6.64
